HelpfulnessNumerator	HelpfulnessDenominator	Score
1	1	5
0	0	1
1	1	4
3	3	2
0	0	5
0	0	4
0	0	5
0	0	5
1	1	5
0	0	5
1	1	5
4	4	5
1	1	1
2	2	4
4	5	5
4	5	5
0	0	2
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	1	1
0	1	4
0	0	5
1	1	5
0	0	5
0	1	5
19	19	4
13	13	4
9	9	5
3	3	4
2	2	5
1	1	5
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	3
0	0	5
1	2	3
1	2	4
0	1	3
0	7	1
4	4	5
1	1	4
0	0	3
2	2	4
0	0	5
2	2	5
1	1	5
0	0	5
0	0	5
2	4	3
0	2	5
2	2	1
3	3	5
1	1	5
1	1	5
0	0	5
0	1	2
0	0	3
0	2	5
2	2	5
1	1	5
0	0	5
0	1	1
0	0	2
0	0	1
0	0	5
0	0	5
0	0	3
0	0	5
1	1	5
1	1	4
15	15	5
5	5	3
4	4	3
4	4	5
1	1	5
1	1	5
1	1	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	1	1
4	5	5
2	3	4
0	0	4
0	0	5
0	0	5
0	0	5
2	8	3
2	2	5
1	1	5
0	0	5
2	2	2
3	3	5
2	2	5
1	1	5
0	0	5
0	0	5
2	2	5
0	0	5
5	5	5
4	4	5
4	4	5
2	2	5
1	1	5
1	1	5
0	0	5
0	0	5
0	0	5
4	4	4
4	4	5
3	3	3
1	1	5
2	3	2
0	0	5
0	0	5
0	0	5
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	4
0	0	5
0	0	5
0	1	3
2	2	5
2	2	2
0	0	5
0	0	3
3	3	5
0	0	5
0	0	5
0	0	4
1	1	1
1	1	5
0	0	5
1	1	5
0	0	5
17	19	5
3	3	5
2	2	5
1	1	3
0	0	4
0	0	5
0	4	1
1	1	5
2	3	5
1	1	1
1	1	1
0	0	3
0	0	5
3	3	5
3	3	5
0	0	5
5	6	4
1	1	5
0	0	5
0	0	5
0	2	4
8	8	4
6	6	4
1	1	5
0	0	3
3	3	5
3	3	5
0	0	5
2	2	5
0	0	5
1	1	4
0	0	3
0	0	5
0	0	5
0	0	5
2	2	5
2	2	4
1	1	5
3	4	5
2	3	3
2	3	5
0	0	5
0	0	2
0	0	5
0	0	5
0	0	4
1	2	5
1	2	5
0	1	5
1	3	5
0	3	1
2	2	5
2	2	5
1	1	5
0	1	2
3	10	1
0	1	4
0	1	5
1	4	1
0	0	3
5	5	5
3	3	5
0	0	5
0	0	5
0	0	5
0	1	5
1	3	2
0	0	4
1	1	5
1	1	5
1	1	5
0	0	1
0	0	5
0	0	5
0	0	5
0	0	1
0	1	5
0	0	2
0	0	5
0	0	4
0	0	5
0	0	5
3	3	5
1	1	5
1	1	5
2	3	4
0	0	4
1	9	2
1	1	5
0	0	5
0	0	5
0	0	5
2	2	5
0	0	3
0	0	1
0	0	4
1	3	1
3	7	2
0	0	5
2	2	1
1	1	2
0	0	5
1	1	5
1	1	5
2	2	5
4	5	3
6	8	5
1	1	5
1	1	5
0	0	1
0	0	4
0	0	4
0	0	4
0	0	5
0	0	3
0	0	5
0	0	5
0	0	4
1	2	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	1	1
3	4	5
1	3	5
1	4	3
0	4	3
13	13	5
6	6	5
7	8	5
6	7	3
3	3	5
3	3	5
3	3	5
5	6	3
2	2	5
2	2	4
1	1	5
1	1	5
2	3	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
1	5	1
0	0	4
0	0	5
3	3	5
2	2	5
1	1	5
0	0	1
1	3	1
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
1	1	5
4	4	5
0	1	3
1	4	3
5	19	1
0	0	5
0	0	5
0	0	4
0	0	5
0	0	5
0	0	5
0	0	1
0	1	5
1	1	5
0	0	1
0	0	1
0	0	5
1	1	5
0	0	5
2	2	5
0	0	4
0	0	5
0	0	3
0	0	5
0	0	3
0	0	3
0	0	4
1	1	5
1	1	5
1	1	5
0	0	5
0	0	5
0	0	5
3	3	5
2	2	5
0	0	5
7	7	5
1	1	4
0	0	4
3	5	5
2	4	5
0	1	1
0	1	5
1	1	5
1	1	5
0	0	5
0	0	5
0	0	5
2	2	4
1	1	5
0	0	4
0	0	5
0	0	4
0	0	5
0	0	5
2	2	5
5	7	5
2	3	5
0	0	5
0	1	5
1	3	3
7	13	1
2	2	5
0	0	5
1	1	5
0	0	5
0	0	4
0	0	5
0	0	5
0	0	4
1	1	2
1	1	5
2	2	5
0	0	1
2	2	5
1	1	5
1	1	5
1	1	5
1	1	5
0	0	4
1	4	3
1	4	1
0	6	1
0	0	1
1	1	5
6	7	5
3	3	5
0	0	5
1	1	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
1	1	5
0	0	5
0	0	1
0	0	5
0	0	4
0	0	5
0	0	5
0	0	4
0	0	5
0	0	5
0	0	4
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	5
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	3
0	0	5
0	0	4
0	0	5
0	0	5
0	0	3
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	3
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	4
0	0	4
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	5
0	0	5
0	0	5
0	0	5
0	0	2
0	0	5
0	0	4
0	0	4
0	0	2
0	0	3
0	0	5
0	0	2
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	5
0	0	4
0	0	4
0	0	5
0	0	5
3	5	2
1	2	5
1	2	4
1	2	5
1	2	5
1	2	5
1	2	2
1	2	1
4	7	1
2	4	5
0	1	4
0	1	3
0	1	5
0	1	5
0	1	5
0	1	1
0	1	4
0	1	3
0	1	2
0	1	5
0	1	3
43	47	5
13	15	5
14	17	5
4	4	5
4	4	5
11	14	5
20	27	1
3	3	5
3	3	5
3	3	5
0	1	4
0	1	3
0	1	3
3	6	2
1	3	5
1	3	1
1	3	1
1	3	5
1	3	3
4	8	1
2	5	4
0	2	1
0	2	1
0	2	1
1	4	2
1	4	1
1	4	4
1	4	3
2	6	1
3	8	1
1	5	2
1	5	2
2	7	1
0	4	1
0	5	1
1	7	1
0	7	1
3	3	5
7	9	1
7	9	1
7	9	1
7	9	5
7	9	5
7	9	5
2	2	1
2	2	5
2	2	1
2	2	5
2	2	5
2	2	5
2	2	5
2	2	5
2	2	5
2	2	5
4	5	1
4	5	5
1	1	5
1	1	5
1	1	4
1	1	5
1	1	1
1	1	5
1	1	5
1	1	4
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	4
1	1	5
1	1	2
1	1	3
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	5
1	1	4
1	1	5
1	1	5
1	1	5
1	1	4
1	1	5
1	1	5
1	1	5
3	4	4
3	4	5
3	4	5
3	4	3
3	4	5
5	7	2
5	7	1
5	7	5
2	3	1
2	3	4
2	3	5
2	3	4
2	3	5
2	3	3
2	3	5
2	3	4
0	0	5
0	0	3
0	0	5
0	0	3
0	0	3
0	0	4
0	0	4
0	0	5
0	0	5
0	0	5
